idnum,usage,time,lat,long,tot_num_carwash,tot_num_shopping,tot_num_pipeline,tot_num_office,tot_num_postoffice,tot_num_electriccompany,tot_num_residential,tot_num_railroad,tot_num_bank,tot_num_social,tot_num_library,tot_num_restaurant,tot_num_recreation,tot_num_transport,tot_num_theater,tot_num_amusementpark,tot_num_na,tot_num_cardealerships,tot_num_industrial,tot_num_religious,tot_num_telephone,tot_num_medical,tot_num_gascompany,tot_num_emergencystation,tot_num_servicestation
HOUA103DC1,1,15,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,2,36,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,3,44,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,4,40,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,5,44,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,6,35,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,7,45,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,8,30,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,9,41,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,10,39,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,11,32,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,12,27,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,13,48,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,14,30,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,15,39,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,16,39,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,17,41,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,18,45,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,19,45,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,20,43,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA103DC1,21,34,13950286.4555,3102195.45064,0,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,78,0,1,1,0,0,0,0,0
HOUA104DC1,1,10,14012856.5086,3061449.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUA104DC1,2,6,14012856.5086,3061449.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUA104DC1,3,9,14012856.5086,3061449.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUA104DC1,4,19,14012856.5086,3061449.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUA104DC1,5,21,14012856.5086,3061449.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
