**** Updated: May 27, 2014 **** 
                                    
PERSONAL PROPERTY CODES             
                                    
State Class                         
------          -----------------   
Code            Description         
------          -----------------   
G1             	Oil and Mineral Gas Reserves                                
G2             	Real Property Other Mineral Reserves                        
J1             	Personal Utilities Water System                             
J2             	Gas Companies                                               
J3             	Electric Companies                                          
J4             	Telephone Companies                                         
J5             	Railroads                                                   
J6             	Pipelines                                                   
J7             	Major Cable Television Systems                              
L1             	Tangible, Commercial                                        
L2             	Tangible, Industrial                                        
M3             	Tangible, Mobile Homes                                      
S1             	Dealer Inventory                                            
U0             	Unknown                                                     
                                     
                                     
Personal Property                    
------          --------------------------                                     ------   
Code   	        Description                                                    Class    
------          --------------------------                                     ------   
A              	Business Personal Property                                  	L1        
B              	Mobile Homes                                                	M3        
C              	Pipelines                                                   	J6        
D              	Railroads                                                   	J5        
E              	Minerals                                                    	G1        
F              	Vessels                                                     	L1        
G              	Commercial Aircraft                                         	L1        
H              	Private Aircraft                                            	L1        
I              	Leased Equipment                                            	L1        
J              	Private Water Systems                                       	J1        
K              	Gas Distribution                                            	J2        
L              	Light Manufacturing                                         	L2        
M              	Telephone Company                                           	J4        
N              	Stored Products (WHSE)                                      	L2        
O              	Tank Farms (Products Inside Tanks)                          	L2        
P              	Stored Pipe                                                 	L2        
Q              	Dealer Inventory                                            	S1        
R              	Real Property Other Mineral Reserves                        	G2        
S              	Billboards                                                  	L1        
T              	Vehicles                                                    	L1        
V              	General Industrial                                          	L2        
W              	Electrical Transmission / Distribution Lines                	J3        
X              	Major CableTV Systems                                       	J7        
Y              	Radio, Cellular, TV and Cable                               	L2        
Z              	Multi-Locations                                             	L1        
                                     
                                     
SIC Code                       	   
------      -----------------                                               -----------------  
Type   	    Description                                                     Category   
------      -----------------                                               -----------------  
0001      	BUSINESS TYPE UNKNOWN                                       	Exception                                         
0002      	VEHICLE(S) ONLY                                             	Exception                                         
0002T     	TRAVEL TRAILER(S) ONLY                                      	Exception                                         
0003      	UNIQUE BUSINESS TYPE                                        	Exception                                         
0004      	INVENTORY ONLY                                              	Exception                                         
0004A     	DEALER MOTOR VEHICLE INV                                    	Exception                                         
0004B     	DEALER BOAT INVENTORY                                       	Exception                                         
0004E     	HEAVY EQUIPMENT DEALER INV                                  	Exception                                         
0004F     	AUTO DEALER-FRANCHISE ONLY                                  	Exception                                         
0004H     	MOBILE HOME DEALER INV                                      	Exception                                         
0004I     	INVENTORY ONLY - INDUSTRIAL SITE                            	Exception                                         
0004X     	DEALER MOTOR VEHICLE INV NON FILING                         	Exception                                         
0005      	M&E &/OR F&F ONLY                                           	Exception                                         
0005I     	M&E &/OR F&F ONLY - INDUSTRIAL SITE                         	Exception                                         
0006      	COMPUTER EQUIPMENT                                          	Exception                                         
0006I     	COMPUTER EQUIPMENT ONLY - INDUSTRIAL SITE                   	Exception                                         
0007      	EQUIP MOUNTED ON VEHICLES                                   	Exception                                         
0008      	LEASED ASSETS                                               	Exception                                         
0008A     	MULTI-LOCATION ASSETS                                       	Exception                                         
0009E     	PERSONAL PROPERTY NOT USED FOR PRODUCTION OF INCOME         	Exception                                         
0010A     	POLLUTION CONTROL - GENERAL PERSONAL                        	Exception                                         
0010F     	POLLUTION CONTROL - VESSELS                                 	Exception                                         
0010L     	POLLUTION CONTROL - LIGHT MANUFACTURING                     	Exception                                         
